 7:07:01 PM | ℹ️ Info | Logged in as Revoltanator!
 7:08:36 PM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/24/2023 7:08:36 PM
 7:08:37 PM | ℹ️ Info | Logged in as Revoltanator!
 7:09:27 PM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/24/2023 7:09:27 PM
 7:09:28 PM | ℹ️ Info | Logged in as Revoltanator!
 7:09:54 PM | ⚠️ Error |  [Error_Handling] :: Unhandled Rejection/Catch
 7:12:44 PM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/24/2023 7:12:44 PM
 7:12:56 PM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/24/2023 7:12:56 PM
 7:12:57 PM | ℹ️ Info | Logged in as Revoltanator!
 7:13:07 PM | ⚠️ Error |  [Error_Handling] :: Unhandled Rejection/Catch
 7:13:23 PM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/24/2023 7:13:23 PM
 7:13:25 PM | ℹ️ Info | Logged in as Revoltanator!
 7:13:32 PM | ⚠️ Error |  [Error_Handling] :: Unhandled Rejection/Catch
 7:15:05 PM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/24/2023 7:15:05 PM
 7:15:07 PM | ℹ️ Info | Logged in as Revoltanator!
 7:15:08 PM | ⚠️ Error |  [Error_Handling] :: Unhandled Rejection/Catch
 7:18:27 PM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/24/2023 7:18:27 PM
 7:18:28 PM | ℹ️ Info | Logged in as Revoltanator!
 7:18:36 PM | ⚠️ Error |  [Error_Handling] :: Unhandled Rejection/Catch
 7:19:34 PM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/24/2023 7:19:34 PM
 7:19:36 PM | ℹ️ Info | Logged in as Revoltanator!
 7:20:58 PM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/24/2023 7:20:58 PM
 7:21:00 PM | ℹ️ Info | Logged in as Revoltanator!
 7:23:21 PM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/24/2023 7:23:21 PM
 7:23:22 PM | ℹ️ Info | Logged in as Revoltanator!
 7:23:30 PM | ⚠️ Error |  [Error_Handling] :: Unhandled Rejection/Catch
 7:25:16 PM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/24/2023 7:25:16 PM
 7:25:18 PM | ℹ️ Info | Logged in as Revoltanator!
 7:27:23 PM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/24/2023 7:27:23 PM
 7:27:25 PM | ℹ️ Info | Logged in as Revoltanator!
 7:40:18 PM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/24/2023 7:40:18 PM
 7:40:19 PM | ℹ️ Info | Logged in as Revoltanator!
 7:40:26 PM | ⚠️ Error |  [Error_Handling] :: Unhandled Rejection/Catch
